,Test(with pretraining),Train(with pretraining),Test(w/o pretraining),Train(w/o pretraining)
1,77.1814946619217,74.81405032207552,73.35231316725978,73.47592441012135
2,78.34875444839858,77.63977365742554,73.33807829181495,73.50795401971601
3,79.7153024911032,78.60777963628598,73.11032028469751,73.50795401971601
4,80.4982206405694,79.33734296594184,72.71174377224199,73.50795401971601
5,80.5693950177936,79.87472863802982,71.31672597864768,73.50795401971601
6,80.02846975088968,79.90675824762447,70.36298932384342,73.50795401971601
7,79.75800711743773,80.27687818071817,70.6049822064057,73.50795401971601
8,80.18505338078292,80.61852734972774,72.09964412811388,73.50795401971601
9,81.01067615658363,80.72173386953273,72.11387900355872,73.50795401971601
10,80.355871886121,80.87476422648493,71.95729537366547,73.50795401971601
